ticker,n_pit,n_iex,P,D,K,V,spread_P,spread_D,seam_step_served,flag
A,10,10,1.0,0.971792,0.971792,1.0,0.0008,0.0006,0.946248,
AA,10,10,0.999873,0.957304,0.957425,1.0,0.0004,0.0004,0.901741,
AAL,10,10,1.000576,1.0,0.999424,1.0,0.0012,0.0019,0.878425,no_rebase_needed
AAP,10,10,1.000023,0.903048,0.903027,1.0,0.0011,0.0079,0.880649,
AAPL,10,10,1.000153,0.979879,0.97973,1.0,0.0009,0.0013,0.956766,
ABBV,10,10,0.999933,0.863635,0.863693,1.0,0.0003,0.0005,0.857441,
ABC,10,10,,,,,,,,no_yahoo_history
ABMD,10,10,,,,,,,,no_yahoo_history
ABNB,10,10,1.0,0.999967,0.999967,1.0,0.001,0.0012,0.922387,no_rebase_needed
ABT,10,10,1.0,0.926137,0.926137,1.0,0.0002,0.0009,0.906725,
ACI,10,10,1.0,0.683556,0.683556,1.0,0.0004,0.0006,0.673399,
ACN,10,10,1.000077,0.945845,0.945771,1.0,0.0013,0.0018,0.918777,
ADBE,10,10,1.0,0.999988,0.999988,1.0,0.0007,0.0006,0.969175,no_rebase_needed
ADI,10,10,0.999937,0.932997,0.933055,1.0,0.0053,0.0011,0.870125,
ADM,10,10,1.0,0.888467,0.888467,1.0,0.0005,0.0006,0.901616,
ADP,10,10,1.000025,0.915667,0.915643,1.0,0.0005,0.0055,0.90981,
ADRA,10,10,,,,,,,,no_yahoo_history
ADRD,10,0,,,,,,,,no_seam_window
ADRE,10,10,1.0,0.943592,0.943592,1.0,0.0001,0.0428,0.928611,iex_side_unstable
ADRU,10,0,,,,,,,,no_seam_window
ADS,10,10,,,,,,,,no_yahoo_history
ADSK,10,10,0.999954,0.99992,0.999967,1.0,0.0003,0.0013,0.958851,no_rebase_needed
ADT,10,10,1.0,0.899307,0.899307,1.0,0.0015,0.006,0.864882,
AEE,10,10,1.0,0.886452,0.886452,1.0,0.0004,0.0066,0.881466,
AEP,10,10,1.000055,0.863877,0.863829,1.0,0.0006,0.0006,0.872206,
AES,10,10,1.0,0.848207,0.848207,1.0,0.0009,0.0009,0.849777,
AFK,10,10,1.0,0.934121,0.934121,1.0,0.0087,0.006,0.902407,
AFL,10,10,1.0,0.913169,0.913169,1.0,0.0002,0.0004,0.896765,
AFRM,10,10,1.0,0.999545,0.999545,1.0,0.0015,0.0023,0.938741,no_rebase_needed
AGG,10,10,0.998683,0.874298,0.875451,1.0,0.0016,0.0004,0.869447,
AGQ,10,10,1.0,1.000063,1.000063,1.0,0.0013,0.0032,1.002888,no_rebase_needed
AIA,10,10,1.0,0.904579,0.904579,1.0,0.0039,0.0071,0.869299,
AIG,10,10,1.0,0.909686,0.909686,1.0,0.0004,0.0057,0.865064,
AIV,10,10,1.0,0.501729,0.501729,1.0,0.0001,0.0028,0.488024,
AIZ,10,10,0.999735,0.933359,0.933607,1.0,0.0046,0.0009,0.927437,
AJG,10,10,0.996816,0.961381,0.964452,1.0,0.0036,0.001,0.929582,
AKAM,10,10,1.0,0.999955,0.999955,1.0,0.0004,0.0007,0.995467,no_rebase_needed
ALB,10,10,0.999664,0.947364,0.947683,1.0,0.0014,0.0034,0.909926,
ALGN,10,10,1.00001,1.000023,1.000013,1.0,0.0013,0.0008,0.937637,no_rebase_needed
ALK,10,10,1.000086,0.999893,0.999806,1.0,0.0004,0.0013,0.888968,no_rebase_needed
ALL,10,10,0.999958,0.909154,0.909192,1.0,0.0073,0.0007,0.892292,
ALLE,10,10,1.000045,0.948876,0.948833,1.0,0.0003,0.0035,0.926868,
ALLY,10,10,1.0,0.86822,0.86822,1.0,0.0004,0.0006,0.791297,
ALTR,10,10,,,,,,,,no_yahoo_history
AMAT,10,10,1.0,0.964739,0.964739,1.0,0.0012,0.0008,0.9144,
AMC,10,10,0.099945,0.389117,3.893296,0.1,0.0006,0.0009,3.570803,
AMCR,10,10,0.2,0.819955,4.099775,0.2,0.0011,0.0006,3.918161,
AMCX,10,10,1.000361,1.0,0.999639,1.0,0.0021,0.0025,0.956272,no_rebase_needed
